Company Name,Ticker,Market Cap (mil),Last Close,Avg Volume,% Price Change (1 Week),% Price Change (4 Weeks),% Price Change (12 Weeks),Price as a % of 52 Wk H-L Range,Relative Price Change (YTD),Sales Growth F(0)/F(-1),Operating Margin 12 Mo %,52 Week High,52 Week Low,Zacks Industry Rank,Sector,Industry,Net Margin %,Zacks Rank
"10x Genomics","TXG","6001.22","47.27","2879407","2.16","21.17","118.84","94.33","164.89","5.25","-3.55","49.43","11.34","81","Medical","Medical Info Systems","-3.55","3"
"3M","MMM","90911.55","176.28","3812510","2.12","9.87","23.02","84.98",".64","1.52","18.35","182.48","141.2","159","Conglomerates","Diversified Operations","11.9","2"
"4D Molecular Therapeutics","FDMT","532.17","10.18","678277","1.09","-21.69",".39","64.9","24.06","230194.59","-182.34","13.3","4.41","138","Medical","Medical - Drugs","-182.34","3"
"A. O. Smith","AOS","8287.64","60.13","1841937","-1.07","-4.13","2.61","17.62","-17.83",".32","13.6","80.47","55.78","87","Industrial Products","Manufacturing - Electronics","13.15","4"
"A10 Networks","ATEN","2128.99","29.57","1268842","-13.72","-18.54","6.37","60.39","52.78","11.03","23.04","38.11","16.55","138","Computer and Technology","Internet - Software","14.9","3"
"AAON","AAON","7295.06","89.06","1092414","-13.26","-17.25","-36.23","22.3","6.75","20.11","7.45","148.25","72.07","31","Construction","Building Products - Air Conditioner and Heating","7.3","3"
"AAR","AIR","5586.54","140.04","478502","8.52","-.05","18.9","95.03","54.6","18.97","5.89","143.61","71.73","62","Aerospace","Aerospace - Defense Equipment","5.67","1"
"ABB","ABBNY","179799.5","98.62","495705","2.35","-6.88","-7.4","75.41","21.86","1.13","13.74","109.73","64.55","87","Industrial Products","Manufacturing - Electronics","13.86","3"
"ABCELLERA BIOLG","ABCL","1743.69","5.71","5488093","7.53","-29.59","8.97","54.87","52.6","160.56","-181.75","8.12","2.78","89","Medical","Medical - Biomedical and Genetics","-181.75","3"
"ABM Industries","ABM","2806.61","47.91","422902",".4","8.22","19.18","85.74","3.52","4.62","2.32","49.66","37.39","210","Business Services","Business - Services","1.75","3"
