Company Name,Ticker,Market Cap (mil),Last Close,Avg Volume,% Price Change (1 Week),% Price Change (4 Weeks),% Price Change (12 Weeks),Price as a % of 52 Wk H-L Range,Relative Price Change (YTD),Sales Growth F(0)/F(-1),Operating Margin 12 Mo %,52 Week High,52 Week Low,Zacks Industry Rank,Sector,Industry,Net Margin %,Zacks Rank
"10x Genomics","TXG","8032.45","61.65","3169562","-4.06","29.9","111.78","93.55","237.51","5.25","-12.18","65.12","11.34","67","Medical","Medical Info Systems","-12.18","3"
"3M","MMM","87028.16","168.75","2606862","-6.25","-7.32","7.59","64.7","-5.89","1.52","18.35","183.78","141.2","98","Conglomerates","Diversified Operations","11.9","2"
"4D Molecular Therapeutics","FDMT","825.35","14.94","1116001","-3.98","45.33","71.33","82.86","77.86","230194.59","-194.74","16.76","6.14","156","Medical","Medical - Drugs","-194.74","3"
"908 Devices","MASS","426.98","10.33","555847","-.39","22.83","28.96","87.19","75.69","-5.76","-27.88","11.1","5.09","95","Medical","Medical - Instruments","-56.96","3"
"A. O. Smith","AOS","8053.94","59.26","1250162","-5.15","-6.2","3.57","14.1","-20.88",".32","13.6","80.47","55.78","98","Industrial Products","Manufacturing - Electronics","13.15","3"
"A10 Networks","ATEN","1797.8","24.76","1380003","-4.36","-19.72","-21.94","38.08","24.98","11.03","23.3","38.11","16.55","74","Computer and Technology","Internet - Software","13.85","3"
"A2Z Cust2Mate Solutions Corp.","AZ","262.82","5.9","693512","-14.74","-2.16","-.51","19.6","-19.08","10.26","-241.67","9.1","5.12","74","Computer and Technology","Internet - Software","-241.67","3"
"AAON","AAON","6152.69","74.62","1221508","-6.47","-19.89","-38.39","1.51","-12.62","20.11","8.29","148.25","73.49","41","Construction","Building Products - Air Conditioner and Heating","8.24","3"
"AAR","AIR","4941.48","123.87","362571","-10.62","-15.64","5.55","62.6","33.6","18.97","5.89","153.71","73.92","34","Aerospace","Aerospace - Defense Equipment","5.67","2"
"ABCELLERA BIOLG","ABCL","3483.11","11.36","10499694","-7.19","91.89","123.18","88.27","196.59","160.56","-248.83","12.5","2.78","164","Medical","Medical - Biomedical and Genetics","-248.83","3"
"ABM Industries","ABM","2721.67","46.46","345833","-2.74","-5.05","3.54","75.77","-1.93","4.62","2.32","49.36","37.39","172","Business Services","Business - Services","1.75","3"
"ACADIA Pharmaceuticals","ACAD","4984.8","28.93","1547153","-2.2",".45","36.14","84.4","-3.29","11.87","9.31","30.57","20.06","164","Medical","Medical - Biomedical and Genetics","33.42","3"
"ACI Worldwide","ACIW","5296.11","52.46","994475","-1.09","-9.22","19.96","64.44","-2.03","10.38","17.86","60.18","38.47","93","Computer and Technology","Computer - Software","12.4","2"
